songid,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Talk You Out Of ItFlorida Georgia Line,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,,Can't Say I Ain't Country,false,202920,73,0.651,0.708,4,-4.791,true,0.0376,0.582,0,0.0796,0.558,119.964,4
Good As YouKane Brown,Kane Brown,Good As You,"['contemporary country', 'country road']",19kUPdKTp85q9RZNwaXM15,https://p.scdn.co/mp3-preview/305d6a3ac88fc268d56bc79a9bfba96c61a9a831?cid=b8d3901151d34489a160e3cf0ab1fa94,Experiment,false,192053,75,0.634,0.516,8,-6.05,true,0.0373,0.4,0,0.142,0.769,153.831,4
Cash ShitMegan Thee Stallion Featuring DaBaby,Megan Thee Stallion Featuring DaBaby,Cash Shit,"['houston rap', 'pop', 'pop rap', 'trap queen']",2rMAtCaTj16NptyVfEIeAC,https://p.scdn.co/mp3-preview/887df8fd3f1a55e6b707e48ac3760d6e8c118184?cid=b8d3901151d34489a160e3cf0ab1fa94,Fever,true,192539,81,0.921,0.635,1,-4.904,true,0.416,0.0218,0,0.0946,0.549,130.028,4
Sup MateYoung Thug Featuring Future,Young Thug Featuring Future,Sup Mate,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",0zNHMc1cGKe4MO5rtGtKRh,https://p.scdn.co/mp3-preview/7b6ef371bd80ae490874ba05427e7a408cd1e05f?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,238026,66,0.874,0.552,1,-7.951,true,0.271,0.000786,0.286,0.144,0.521,147.043,4
Love Me MoreTrippie Redd,Trippie Redd,Love Me More,"['melodic rap', 'rap', 'trap']",2NSWi83peog6gHerzlMCqU,,Love Me More,true,143712,78,0.638,0.539,10,-5.853,true,0.0504,0.22,0,0.241,0.247,83.381,4
All Day LongChance The Rapper Featuring John Legend,Chance The Rapper Featuring John Legend,All Day Long,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",1g3ErLqysBJ5EIGdYYMWFZ,https://p.scdn.co/mp3-preview/ab130a06dbdc64f6ac36e8772f49446256deb470?cid=b8d3901151d34489a160e3cf0ab1fa94,The Big Day,false,208238,67,0.792,0.867,2,-3.527,true,0.191,0.0396,0,0.143,0.655,123.044,4
BOPDaBaby,DaBaby,BOP,"['nc hip hop', 'rap']",6Ozh9Ok6h4Oi1wUSLtBseN,,KIRK,true,159714,92,0.769,0.787,11,-3.909,true,0.367,0.189,0,0.129,0.836,126.77,4
It's YouAli Gatie,Ali Gatie,It's You,"['canadian hip hop', 'pop']",5DqdesEfbRyOlSS3Tf6c29,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=b8d3901151d34489a160e3cf0ab1fa94,YOU,false,212606,89,0.732,0.463,11,-6.972,false,0.0287,0.374,0,0.194,0.397,95.971,4
One Thing RightMarshmello & Kane Brown,Marshmello & Kane Brown,One Thing Right,"['brostep', 'progressive electro house']",4hPpVbbakQNv8YTHYaOJP4,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=b8d3901151d34489a160e3cf0ab1fa94,One Thing Right,false,181823,86,0.659,0.623,4,-2.253,true,0.0451,0.0667,0,0.582,0.439,88.042,4
Hands OnKanye West Featuring Fred Hammond,Kanye West Featuring Fred Hammond,Hands On,"['chicago rap', 'rap']",7r6aR2f57resC5r93LwMfK,,JESUS IS KING,false,203174,73,0.514,0.393,1,-8.72,false,0.529,0.558,0,0.282,0.598,78.039,4
The BonesMaren Morris,Maren Morris,The Bones,"['contemporary country', 'pop', 'texas country']",3npzogdOEiVsieXmmhBepL,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=b8d3901151d34489a160e3cf0ab1fa94,GIRL,false,197293,80,0.612,0.57,11,-6.642,false,0.0347,0.279,0,0.0963,0.335,77.004,4
Days In The EastDrake,Drake,Days In The East,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",4czcw3NVLY0of5hTD7OufN,,Care Package,true,353697,60,0.733,0.361,1,-11.129,true,0.135,0.348,0.000285,0.0942,0.0361,94.902,4
Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever,"['emo rap', 'miami hip hop']",69dXVFCMiz3SL1L7M24NdX,https://p.scdn.co/mp3-preview/e2b48a40c04e0c2dc7dce32ce5e6e61c79d49ad4?cid=b8d3901151d34489a160e3cf0ab1fa94,bad vibes forever,true,150475,80,0.799,0.526,8,-5.153,true,0.0717,0.334,0.00174,0.0571,0.746,129.875,4
On ChillWale Featuring Jeremih,Wale Featuring Jeremih,On Chill,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5z51HY4ei5QhTjcvwq5Msw,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=b8d3901151d34489a160e3cf0ab1fa94,Wow... That's Crazy,true,214035,78,0.597,0.733,1,-6.017,true,0.41,0.134,0,0.159,0.639,171.016,4
Sanguine ParadiseLil Uzi Vert,Lil Uzi Vert,Sanguine Paradise,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']",3XiNC94b4Tq1xwv70sQJGN,https://p.scdn.co/mp3-preview/26462b5ccbae45673ca15b59b5c52a7d50103e50?cid=b8d3901151d34489a160e3cf0ab1fa94,Sanguine Paradise,true,243976,83,0.729,0.603,6,-6.736,false,0.0666,0.0948,0,0.113,0.207,134.972,4
Hot NowYoungBoy Never Broke Again,YoungBoy Never Broke Again,Hot Now,"['baton rouge rap', 'trap']",3eeyKNIBrt5TH4y0y3QkOu,https://p.scdn.co/mp3-preview/9932a1c3b31f08c053ab920ddbebaae120ad37aa?cid=b8d3901151d34489a160e3cf0ab1fa94,AI YoungBoy 2,true,128413,78,0.739,0.637,4,-5.79,false,0.44,0.232,0,0.634,0.513,164.91,4
"EarfquakeTyler, The Creator","Tyler, The Creator",Earfquake,"['hip hop', 'rap']",5hVghJ4KaYES3BFUATCYn0,https://p.scdn.co/mp3-preview/d6528c193bac76f7a04bdf1ea9453ec016a94f88?cid=b8d3901151d34489a160e3cf0ab1fa94,IGOR,true,190066,85,0.554,0.498,9,-8.866,true,0.0685,0.23,0.00000598,0.795,0.413,79.635,4
One Man BandOld Dominion,Old Dominion,One Man Band,"['contemporary country', 'country road']",08dFHFTx6r67MTsYn5ilDR,https://p.scdn.co/mp3-preview/0f01a3cdc4582c2d244e791bb5bfc8f3ed807256?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Dominion,false,186240,81,0.706,0.358,6,-8.331,true,0.0348,0.677,0,0.107,0.478,75.991,4
MEGATRONNicki Minaj,Nicki Minaj,MEGATRON,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",1ZDmxwg7Lywlx68b7SsJjj,,MEGATRON,true,190746,75,0.893,0.641,1,-3.051,true,0.272,0.128,0.0000806,0.086,0.771,94.017,4
Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6ya8ejoKgw906Y8LWclqrp,https://p.scdn.co/mp3-preview/960bd4ae3b108ff9d9f01981e216591c0b1c880b?cid=b8d3901151d34489a160e3cf0ab1fa94,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),true,233277,76,0.671,0.833,5,-5.152,false,0.395,0.0825,0,0.0726,0.702,79.351,4
A Holly Jolly ChristmasBurl Ives,Burl Ives,A Holly Jolly Christmas,"['adult standards', 'american folk revival']",65Q2mv3UlVi9eO70OpsmSe,,Have A Holly Jolly Christmas,false,135533,80,0.683,0.375,0,-13.056,true,0.0303,0.579,0,0.076,0.888,140.467,4
CallaitaBad Bunny & Tainy,Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']",2TH65lNHgvLxCKXM3apjxI,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=b8d3901151d34489a160e3cf0ab1fa94,Callaita,true,250533,91,0.61,0.624,2,-4.773,true,0.309,0.6,0.00000212,0.243,0.244,176.169,4
Sicko ModeTravis Scott,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,true,312820,88,0.834,0.73,8,-3.714,true,0.222,0.00513,0,0.124,0.446,155.008,4
Do You RememberChance The Rapper Featuring Death Cab For Cutie,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",67xBtV07CC73eFw7z5oCvU,https://p.scdn.co/mp3-preview/0a1bc59054213b3e5bb6e9c110ef0a4caf88e632?cid=b8d3901151d34489a160e3cf0ab1fa94,The Big Day,false,236685,66,0.606,0.655,6,-6.328,true,0.402,0.139,0,0.103,0.696,159.824,4
