songid,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Don't Check On MeChris Brown Featuring Justin Bieber & Ink,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",3msKIQc0Yjuz3Zn39g3KLX,https://p.scdn.co/mp3-preview/f65d089cedfbacb7ba345301469ef642438699b9?cid=b8d3901151d34489a160e3cf0ab1fa94,Don't Check On Me (feat. Justin Bieber & Ink),false,204880,72,0.66,0.395,7,-5.242,true,0.0333,0.873,0,0.112,0.678,81.997,4
Dance MonkeyTones And I,Tones And I,Dance Monkey,['australian pop'],2XU0oxnq2qxCpomAAuJY8K,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=b8d3901151d34489a160e3cf0ab1fa94,Dance Monkey (Stripped Back) / Dance Monkey,false,209438,100,0.824,0.588,6,-6.4,false,0.0924,0.692,0.000104,0.149,0.513,98.027,4
HeartlessThe Weeknd,The Weeknd,Heartless,"['canadian contemporary r&b', 'canadian pop', 'pop']",57vxBYXtHMk6H1aD29V7PU,,Heartless,true,200080,93,0.531,0.75,10,-5.831,false,0.111,0.00632,0.000076,0.117,0.198,169.954,4
"Break Up With Your Girlfriend, I'm BoredAriana Grande",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored","['dance pop', 'pop', 'post-teen pop']",4kV4N9D1iKVxx1KLvtTpjS,,thank ,true,190440,85,0.726,0.554,5,-5.29,false,0.0917,0.0421,0,0.106,0.335,169.999,4
"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris","DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,"['nc hip hop', 'rap']",0WoAkdHmgPmEXfiBox1flk,,KIRK,true,214893,71,0.676,0.664,8,-4.435,true,0.343,0.0387,0,0.0475,0.838,161.867,4
Miss Americana & The Heartbreak PrinceTaylor Swift,Taylor Swift,Miss Americana & The Heartbreak Prince,"['dance pop', 'pop', 'post-teen pop']",214nt20w5wOxJnY462klLw,,Lover,false,234146,74,0.662,0.747,11,-6.926,false,0.0736,0.028,0.00615,0.138,0.487,150.088,4
Prayed For YouMatt Stell,Matt Stell,Prayed For You,"['arkansas country', 'contemporary country', 'country pop']",4j6GMcVcqZf1r0GDqMtYp6,https://p.scdn.co/mp3-preview/b8c1e07200c9943a5f7edc8777fadede79f9e64b?cid=b8d3901151d34489a160e3cf0ab1fa94,Everywhere But On,false,210373,74,0.6,0.698,9,-5.86,true,0.0355,0.0724,0.00000164,0.113,0.57,140.032,4
GoldenHarry Styles,Harry Styles,Golden,"['dance pop', 'pop', 'post-teen pop']",45S5WTQEGOB1VHr1Q4FuPl,https://p.scdn.co/mp3-preview/b8bbc5ca9cc5fc1a9ddb73fa47107f00c59c422c?cid=b8d3901151d34489a160e3cf0ab1fa94,Fine Line,false,208906,85,0.448,0.838,4,-5.257,false,0.0557,0.21,0.000131,0.131,0.254,139.863,4
Bad Bad BadYoung Thug Featuring Lil Baby,Young Thug Featuring Lil Baby,Bad Bad Bad,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",1GeNui6m825V8jP4uKiIaH,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,149040,82,0.974,0.596,6,-8.888,true,0.184,0.0976,0,0.151,0.892,111.959,4
Bad Bad BadYoung Thug Featuring Lil Baby,Young Thug Featuring Lil Baby,Bad Bad Bad,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",1GeNui6m825V8jP4uKiIaH,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,149040,82,0.974,0.596,6,-8.888,true,0.184,0.0976,0,0.151,0.892,111.959,4
Watermelon SugarHarry Styles,Harry Styles,Watermelon Sugar,"['dance pop', 'pop', 'post-teen pop']",1e9oZCCiX42nJl0AcqriVo,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=b8d3901151d34489a160e3cf0ab1fa94,Watermelon Sugar,false,174000,91,0.548,0.816,0,-4.209,true,0.0465,0.122,0,0.335,0.557,95.39,4
Drunk Dialing...LODTSummer Walker,Summer Walker,Drunk Dialing...LODT,"['alternative r&b', 'pop', 'pop rap']",,,,,,,,,,,,,,,,,,
Better TogetherLuke Combs,Luke Combs,Better Together,['contemporary country'],1tSGw3h54aHModEHHL1HGK,https://p.scdn.co/mp3-preview/835763e26d1e1d9deabb5121419d718c7e16a6f0?cid=b8d3901151d34489a160e3cf0ab1fa94,What You See Is What You Get,false,219573,75,0.552,0.225,0,-11.501,true,0.0477,0.826,0,0.111,0.67,138.002,4
TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway,"['edm', 'electropop', 'pop', 'tropical house']",3g0mEQx3NTanacLseoP0Gw,https://p.scdn.co/mp3-preview/0017ff421bc67594b7a00740df16c58e3e2e0664?cid=b8d3901151d34489a160e3cf0ab1fa94,World War Joy,false,209880,84,0.528,0.511,3,-8.144,true,0.0324,0.126,0,0.101,0.351,100.1,4
LivingDierks Bentley,Dierks Bentley,Living,"['contemporary country', 'country', 'country road', 'modern country rock']",54K7AZoGpQklpygKrxZlKN,,The Mountain,false,222146,71,0.517,0.813,1,-6.325,true,0.0558,0.0153,0,0.106,0.444,83.005,4
"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie","Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody,['trap'],735RSTb2xbtWbDtKD9XDYi,,Somebody,true,174333,83,0.63,0.671,6,-6.659,false,0.256,0.363,0,0.113,0.333,89.921,4
TapNAV Featuring Meek Mill,NAV Featuring Meek Mill,Tap,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",5rU6kDNXZLXIinFezpbWbO,,Bad Habits (Deluxe),true,148278,79,0.901,0.676,2,-7.033,true,0.251,0.0646,0,0.0863,0.452,85.018,4
Hate MeEllie Goulding & Juice WRLD,Ellie Goulding & Juice WRLD,Hate Me,"['dance pop', 'edm', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",6kls8cSlUyHW2BUOkDJIZE,,Hate Me (with Juice WRLD),false,186223,89,0.657,0.768,8,-4.628,true,0.0507,0.108,0,0.144,0.759,75.025,4
The ManTaylor Swift,Taylor Swift,The Man,"['dance pop', 'pop', 'post-teen pop']",3RauEVgRgj1IuWdJ9fDs70,,Lover,false,190360,80,0.777,0.658,0,-5.191,true,0.054,0.0767,0,0.0901,0.633,110.048,4
Valentino24kGoldn,24kGoldn,Valentino,['cali rap'],0c7K73roy6RW4ebDkf4yGh,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=b8d3901151d34489a160e3cf0ab1fa94,VALENTINO,true,179133,85,0.745,0.718,9,-4.853,false,0.183,0.197,0,0.134,0.539,151.097,4
RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),,,,,,,,,,,,,,,,,,,
HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,,,,,,,,,,,,,,,,,,,
TrampolineSHAED,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,,Trampoline (with ZAYN),false,184280,91,0.619,0.459,7,-5.782,false,0.0334,0.56,0,0.137,0.498,126.803,4
God's CountryBlake Shelton,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Country,false,205106,77,0.538,0.752,10,-5.106,true,0.0396,0.0608,0.00000539,0.118,0.217,139.984,4
Without MeHalsey,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,true,201660,89,0.752,0.488,6,-7.05,true,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
Easier5 Seconds Of Summer,5 Seconds Of Summer,Easier,"['boy band', 'dance pop', 'pop', 'post-teen pop']",4tNXntkAzQ5A2dfYRYGIIQ,,Easier,false,157492,81,0.505,0.428,5,-5.604,true,0.221,0.489,0,0.0977,0.618,175.813,4
Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",00ko9WaS4jOX1kEk3gvHjf,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=b8d3901151d34489a160e3cf0ab1fa94,The Big Day,true,225923,83,0.897,0.522,2,-7.578,true,0.374,0.0016,0,0.0554,0.623,149.986,4
Que PretendesJ Balvin & Bad Bunny,J Balvin & Bad Bunny,Que Pretendes,"['latin', 'reggaeton']",25ZAibhr3bdlMCLmubZDVt,,OASIS,false,222346,87,0.639,0.791,10,-4.443,false,0.253,0.0275,0,0.362,0.939,92.603,4
FallingHarry Styles,Harry Styles,Falling,"['dance pop', 'pop', 'post-teen pop']",1ZMiCix7XSAbfAJlEZWMCp,https://p.scdn.co/mp3-preview/755e88e49f038885df13efc6689381a2068e972d?cid=b8d3901151d34489a160e3cf0ab1fa94,Fine Line,false,240133,89,0.567,0.267,4,-6.502,true,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
HIGHEST IN THE ROOMTravis Scott,Travis Scott,HIGHEST IN THE ROOM,['rap'],3eekarcy7kvN4yt5ZFzltW,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=b8d3901151d34489a160e3cf0ab1fa94,HIGHEST IN THE ROOM,true,175720,95,0.598,0.427,7,-8.764,false,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
Nice To Meet YaNiall Horan,Niall Horan,Nice To Meet Ya,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",3cphb8kdsjElYR7r5icK3H,,Nice To Meet Ya,false,158805,88,0.591,0.841,4,-4.351,false,0.0304,0.0119,0,0.395,0.392,109.034,4
Just How It IsYoung Thug,Young Thug,Just How It Is,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",5KYhIFNTp4VQUqlsbLWTTu,https://p.scdn.co/mp3-preview/58e2bf7d426457be7a7668551845331e419a9fde?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,207133,66,0.611,0.539,7,-10.617,true,0.411,0.0485,0,0.127,0.627,82.766,4
All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,Merry Christmas,false,241106,95,0.335,0.625,7,-7.462,true,0.0386,0.164,0,0.0708,0.346,150.277,4
SenoritaShawn Mendes & Camila Cabello,Shawn Mendes & Camila Cabello,Senorita,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0TK2YIli7K1leLovkQiNik,,Señorita,false,190960,94,0.759,0.54,9,-6.039,false,0.0287,0.037,0,0.0945,0.75,116.947,4
InternetPost Malone,Post Malone,Internet,"['dfw rap', 'melodic rap', 'rap']",0KAzP1Rbp0Vz5pw8i1KDDI,,Hollywood's Bleeding,true,123386,76,0.469,0.489,0,-6.071,true,0.0314,0.841,0,0.103,0.201,74.013,4
BabyLil Baby & DaBaby,Lil Baby & DaBaby,Baby,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,true,145542,85,0.897,0.662,1,-6.903,false,0.292,0.0852,0,0.534,0.389,112.511,4
TOESDaBaby Featuring Lil Baby & Moneybagg Yo,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,"['nc hip hop', 'rap']",2FvD20Z8aoWIePi7PoN8sG,,KIRK,true,136366,83,0.816,0.582,8,-4.141,true,0.341,0.0794,0.00000584,0.0916,0.542,160.004,4
OmertaDrake,Drake,Omerta,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",3kCwyvhvVTyehIzYN2I0nF,,The Best In The World Pack,true,219506,68,0.646,0.899,6,-2.232,true,0.298,0.0337,0,0.232,0.685,164.119,4
Club ParadiseDrake,Drake,Club Paradise,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",6MR5IBSNfDmiwnrlQpVw4w,,Care Package,true,283816,59,0.338,0.729,6,-6.419,false,0.102,0.758,0.0000324,0.18,0.543,184.174,4
La CancionJ Balvin & Bad Bunny,J Balvin & Bad Bunny,La Cancion,"['latin', 'reggaeton']",0fea68AdmYNygeTGI4RC18,,OASIS,false,242573,92,0.754,0.646,7,-5.795,true,0.317,0.152,0.0000185,0.108,0.429,176.089,4
La La LandBryce Vine Featuring YG,Bryce Vine Featuring YG,La La Land,"['pop', 'pop rap']",4oM9DGUTrRaXJDypxxHztZ,https://p.scdn.co/mp3-preview/e423b321c704592d84e3c0d74df3c4b31a0f7f63?cid=b8d3901151d34489a160e3cf0ab1fa94,Carnival,true,177253,73,0.774,0.473,1,-5.122,false,0.0569,0.221,0,0.222,0.416,97.953,4
How Do You Sleep?Sam Smith,Sam Smith,How Do You Sleep?,"['pop', 'post-teen pop', 'uk pop']",6b2RcmUt1g9N9mQ3CbjX2Y,,How Do You Sleep?,false,202204,92,0.477,0.682,1,-4.931,false,0.0925,0.153,0,0.0763,0.345,110.567,5
AfterglowTaylor Swift,Taylor Swift,Afterglow,"['dance pop', 'pop', 'post-teen pop']",1SymEzIT3H8UZfibCs3TYi,,Lover,false,223293,74,0.756,0.449,9,-8.746,true,0.0344,0.13,0,0.114,0.399,111.011,4
"Costa RicaDreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God","Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica,"['hip hop', 'rap']",5WnfnSpuNEGXyEt78PBA6d,,Revenge Of The Dreamers III,true,217866,77,0.642,0.647,7,-6.312,false,0.428,0.517,0,0.0649,0.664,120.749,4
Sleigh RideThe Ronettes,The Ronettes,Sleigh Ride,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",5ASM6Qjiav2xPe7gRkQMsQ,https://p.scdn.co/mp3-preview/02b0f46f82b95ad492c343766a9e1c4389a863bf?cid=b8d3901151d34489a160e3cf0ab1fa94,A Christmas Gift For You From Phil Spector,false,181266,84,0.528,0.772,2,-7.013,true,0.0288,0.403,0.00000252,0.316,0.852,91.735,4
Rockin' Around The Christmas TreeBrenda Lee,Brenda Lee,Rockin' Around The Christmas Tree,"['adult standards', 'brill building pop']",2EjXfH91m7f8HiJN1yQg97,,Merry Christmas From Brenda Lee,false,126266,90,0.589,0.472,8,-8.749,true,0.0502,0.614,0,0.505,0.898,67.196,4
Rich As HellYoungBoy Never Broke Again,YoungBoy Never Broke Again,Rich As Hell,"['baton rouge rap', 'trap']",5A6tFAdihqILHJrWuR6wD4,https://p.scdn.co/mp3-preview/5f625ea5748dc9a65270442f0da35b7faaa32bd9?cid=b8d3901151d34489a160e3cf0ab1fa94,AI YoungBoy 2,true,215327,71,0.874,0.647,1,-5.256,true,0.441,0.0382,0,0.215,0.228,154.04,4
Doin' TimeLana Del Rey,Lana Del Rey,Doin' Time,"['art pop', 'pop']",0Oqc0kKFsQ6MhFOLBNZIGX,,Norman Fucking Rockwell!,true,202192,79,0.649,0.538,7,-11.196,false,0.0519,0.372,0.00632,0.0951,0.496,144.979,4
AllergicPost Malone,Post Malone,Allergic,"['dfw rap', 'melodic rap', 'rap']",1YscJ7yVTlFxW3eF6pv5ba,,Hollywood's Bleeding,true,156893,78,0.665,0.741,0,-3.694,true,0.0787,0.154,0.0000302,0.345,0.57,144.968,4
Lucid DreamsJuice WRLD,Juice WRLD,Lucid Dreams,"['chicago rap', 'melodic rap']",285pBltuF7vW8TeWk8hdRR,,Goodbye & Good Riddance,true,239835,93,0.511,0.566,6,-7.23,false,0.2,0.349,0,0.34,0.218,83.903,4
The MotionDrake,Drake,The Motion,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0Tacxc5lDJ8LwiO1pWNSl8,,Care Package,true,240956,66,0.631,0.788,4,-7.142,false,0.102,0.371,0.000317,0.108,0.544,157.769,4
Don't Start NowDua Lipa,Dua Lipa,Don't Start Now,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",6WrI0LAC5M1Rw2MnX2ZvEg,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=b8d3901151d34489a160e3cf0ab1fa94,Don't Start Now,false,183290,97,0.794,0.793,11,-4.521,false,0.0842,0.0125,0,0.0952,0.677,123.941,4
Jesus Is LordKanye West,Kanye West,Jesus Is Lord,"['chicago rap', 'rap']",7sBgFMWqDWQgrsNSpIBoe8,,JESUS IS KING,false,49292,72,0.243,0.26,4,-5.876,false,0.0305,0.828,0.0000403,0.532,0.327,76.61,3
I Don't Know About YouChris Lane,Chris Lane,I Don't Know About You,['contemporary country'],3yOs8FffuG6hPbzQG9lIqV,https://p.scdn.co/mp3-preview/cd9770406745703e8927b26b58e64af577cdcb9c?cid=b8d3901151d34489a160e3cf0ab1fa94,Laps Around The Sun,false,207933,75,0.593,0.81,1,-5.733,true,0.0625,0.602,0,0.119,0.712,144.011,4
The Git UpBlanco Brown,Blanco Brown,The Git Up,['country rap'],2KKijf6Ett4kmVNJze2roh,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=b8d3901151d34489a160e3cf0ab1fa94,Honeysuckle & Lightning Bugs,false,200593,81,0.847,0.678,9,-8.635,true,0.109,0.0669,0,0.274,0.811,97.984,4
"Writing On The WallFrench Montana Featuring Post Malone, Cardi B & Rvssian","French Montana Featuring Post Malone, Cardi B & Rvssian",Writing On The Wall,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7x9nXsowok1JszkVztI5NI,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=b8d3901151d34489a160e3cf0ab1fa94,Writing on the Wall (feat. Post Malone & Cardi B),true,201270,84,0.773,0.836,9,-2.326,false,0.153,0.283,0.000021,0.0828,0.497,112.01,4
A Thousand Bad TimesPost Malone,Post Malone,A Thousand Bad Times,"['dfw rap', 'melodic rap', 'rap']",2J0NXdHr6MYvKDSxB7k3V2,,Hollywood's Bleeding,true,221173,80,0.632,0.732,6,-3.498,true,0.092,0.105,0.0000115,0.111,0.317,159,4
Look Back At ItA Boogie Wit da Hoodie,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,true,179449,82,0.791,0.587,3,-5.075,false,0.0413,0.407,0,0.148,0.536,96.057,4
CamelotNLE Choppa,NLE Choppa,Camelot,['memphis hip hop'],4sWuPniHClkInYAnzXAYUF,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=b8d3901151d34489a160e3cf0ab1fa94,Camelot,true,148759,86,0.787,0.713,7,-5.252,true,0.401,0.0849,0,0.717,0.762,175.041,4
GraveyardHalsey,Halsey,Graveyard,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",6V9fHiv84WlVTg7CSnIVY2,,Graveyard,false,181805,89,0.667,0.583,11,-5.127,false,0.0747,0.231,0.0000448,0.181,0.187,92.043,4
Beer Never Broke My HeartLuke Combs,Luke Combs,Beer Never Broke My Heart,['contemporary country'],3RzcoFkZ0AOp2nH71jP504,https://p.scdn.co/mp3-preview/6a1fbf9017964d3ad2d1f11cf9288bc2eadd9c04?cid=b8d3901151d34489a160e3cf0ab1fa94,What You See Is What You Get,false,186733,79,0.54,0.863,1,-4.483,true,0.0481,0.0138,0,0.0874,0.64,77,4
POP STARDaBaby Featuring Kevin Gates,DaBaby Featuring Kevin Gates,POP STAR,"['nc hip hop', 'rap']",2TsD9kSbgYx5fSNRsoNURE,,KIRK,true,183144,74,0.815,0.76,6,-4.632,true,0.331,0.0242,0,0.203,0.729,81.537,4
